gender,customer_type,age,type_of_travel,class,flight_distance,inflight_wifi_service,departure/arrival_time_convenient,ease_of_online_booking,food_and_drink,inflight_entertainment,baggage_handling,cleanliness,departure_delay_in_minutes,arrival_delay_in_minutes,satisfaction
Male,Loyal Customer,54,Business Travel,Business,74.0,0,5,1,3,1,1,4,0.0,0.0,Satisfied
Male,Loyal Customer,52,Business Travel,Business,74.0,5,5,3,5,4,5,3,0.0,0.0,Satisfied
Female,Loyal Customer,17,Business Travel,Business,74.0,2,1,5,4,4,3,4,25.0,13.0,Dissatisfied
Female,Loyal Customer,33,Business Travel,Business,74.0,0,4,1,5,4,4,3,0.0,0.0,Satisfied
Male,Loyal Customer,48,Business Travel,Business,74.0,5,5,5,5,4,4,4,0.0,0.0,Satisfied
Female,Loyal Customer,51,Business Travel,Business,76.0,3,3,3,5,4,5,5,6.0,6.0,Satisfied
Unknown,Unknown,39,Unknown,Business,337.0,2,1,3,4,4,4,4,0.0,0.0,Dissatisfied
Male,Loyal Customer,50,Business Travel,Business,77.0,3,3,5,1,4,3,2,15.0,9.0,Dissatisfied
Male,Loyal Customer,42,Business Travel,Business,77.0,5,5,5,5,4,5,5,0.0,0.0,Satisfied
Female,Loyal Customer,55,Business Travel,Business,77.0,2,2,2,4,5,5,5,0.0,0.0,Satisfied
Female,Disloyal Customer,40,Business Travel,Business,78.0,2,2,3,4,4,4,4,0.0,0.0,Neutral
Female,Loyal Customer,33,Business Travel,Business,78.0,5,5,4,1,5,5,5,0.0,0.0,Satisfied
Male,Loyal Customer,30,Business Travel,Business,337.0,4,4,3,4,5,4,5,10.0,0.0,Satisfied
Female,Loyal Customer,16,Personal Travel,Business,78.0,1,5,1,3,3,5,3,0.0,0.0,Dissatisfied
Female,Loyal Customer,53,Business Travel,Business,78.0,3,3,3,5,5,5,3,32.0,24.0,Satisfied
Female,Loyal Customer,60,Business Travel,Business,78.0,1,3,3,1,3,1,4,113.0,105.0,Dissatisfied
Female,Loyal Customer,38,Business Travel,Business,80.0,0,5,1,5,3,3,5,0.0,14.0,Satisfied
Male,Loyal Customer,32,Business Travel,Business,82.0,2,2,2,5,5,5,5,0.0,0.0,Satisfied
Male,Loyal Customer,35,Business Travel,Business,83.0,1,1,5,1,5,5,2,1.0,0.0,Satisfied
Male,Loyal Customer,33,Business Travel,Business,83.0,0,5,1,3,3,5,3,0.0,0.0,Satisfied
Female,Disloyal Customer,24,Business Travel,Business,83.0,4,1,4,5,5,5,5,0.0,45.0,Satisfied
Female,Loyal Customer,35,Business Travel,Business,83.0,1,1,1,5,5,2,5,0.0,0.0,Satisfied
Male,Loyal Customer,33,Business Travel,Business,83.0,3,5,5,2,2,4,2,0.0,0.0,Dissatisfied
Male,Loyal Customer,45,Business Travel,Business,83.0,2,2,3,1,4,4,3,0.0,0.0,Satisfied
Female,Loyal Customer,50,Business Travel,Business,83.0,3,4,4,5,2,3,2,11.0,7.0,Dissatisfied
Male,Loyal Customer,30,Business Travel,Business,337.0,5,5,3,4,5,3,5,10.0,0.0,Satisfied
Female,Loyal Customer,56,Business Travel,Business,83.0,5,5,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,51,Business Travel,Business,83.0,0,4,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,44,Business Travel,Business,84.0,5,5,5,5,5,4,3,3.0,7.0,Satisfied
Male,Loyal Customer,35,Personal Travel,Business,84.0,3,2,3,4,4,4,4,0.0,0.0,Dissatisfied
Male,Loyal Customer,60,Business Travel,Business,84.0,2,2,1,5,5,5,5,46.0,57.0,Satisfied
Female,Loyal Customer,48,Business Travel,Business,84.0,0,4,1,2,4,5,5,0.0,0.0,Satisfied
Male,Loyal Customer,49,Business Travel,Business,84.0,4,4,3,1,5,3,3,0.0,0.0,Satisfied
Male,Loyal Customer,27,Business Travel,Business,84.0,5,5,5,5,5,1,5,0.0,0.0,Satisfied
Female,Loyal Customer,44,Business Travel,Business,84.0,3,3,3,5,5,4,2,42.0,29.0,Satisfied
Male,Loyal Customer,39,Business Travel,Business,84.0,0,3,1,5,2,3,4,0.0,0.0,Satisfied
Male,Loyal Customer,45,Business Travel,Business,84.0,4,4,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,39,Business Travel,Business,86.0,4,3,4,5,5,3,3,0.0,0.0,Satisfied
Female,Loyal Customer,59,Personal Travel,Business,86.0,4,4,3,4,4,4,4,0.0,0.0,Neutral
Female,Loyal Customer,39,Business Travel,Business,86.0,3,1,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,51,Business Travel,Business,86.0,3,3,4,2,1,3,4,21.0,16.0,Dissatisfied
Female,Loyal Customer,47,Business Travel,Business,86.0,1,1,4,1,5,4,4,43.0,39.0,Satisfied
Female,Loyal Customer,42,Business Travel,Business,86.0,0,5,1,3,2,2,5,0.0,0.0,Satisfied
Female,Loyal Customer,57,Business Travel,Business,86.0,1,1,1,1,5,3,5,0.0,0.0,Satisfied
Male,Loyal Customer,65,Personal Travel,Business,86.0,1,5,1,1,2,2,4,114.0,120.0,Dissatisfied
Male,Loyal Customer,42,Business Travel,Business,86.0,2,4,4,3,3,2,4,34.0,63.0,Dissatisfied
Female,Loyal Customer,33,Business Travel,Business,86.0,4,4,4,5,4,4,4,23.0,27.0,Satisfied
Female,Disloyal Customer,40,Business Travel,Business,86.0,1,1,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,53,Business Travel,Business,86.0,4,5,5,2,1,4,2,0.0,0.0,Dissatisfied
Male,Loyal Customer,67,Personal Travel,Business,86.0,3,4,3,4,3,3,3,0.0,0.0,Dissatisfied
Female,Loyal Customer,51,Business Travel,Business,86.0,4,4,3,4,4,4,4,0.0,0.0,Neutral
Female,Loyal Customer,59,Business Travel,Business,86.0,0,4,1,2,1,1,3,8.0,3.0,Satisfied
Male,Loyal Customer,39,Business Travel,Business,86.0,5,5,5,2,5,4,4,0.0,0.0,Satisfied
Female,Loyal Customer,32,Business Travel,Business,86.0,5,5,5,4,4,5,4,0.0,14.0,Satisfied
Female,Loyal Customer,39,Business Travel,Business,86.0,1,4,4,5,2,1,2,0.0,22.0,Dissatisfied
Male,Loyal Customer,35,Business Travel,Business,86.0,3,2,2,2,1,3,3,0.0,0.0,Dissatisfied
Female,Loyal Customer,57,Business Travel,Business,86.0,0,5,1,4,1,1,3,20.0,28.0,Satisfied
Female,Loyal Customer,66,Personal Travel,Business,86.0,3,5,3,3,5,5,4,0.0,0.0,Dissatisfied
Male,Loyal Customer,46,Business Travel,Business,86.0,1,1,1,5,5,1,2,0.0,0.0,Satisfied
Male,Loyal Customer,67,Personal Travel,Business,86.0,4,4,4,5,4,4,4,0.0,0.0,Dissatisfied
Female,Loyal Customer,64,Business Travel,Business,86.0,1,2,2,1,2,1,3,0.0,1.0,Dissatisfied
Male,Loyal Customer,7,Personal Travel,Business,337.0,3,4,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,39,Business Travel,Business,86.0,4,1,1,2,1,4,3,20.0,12.0,Dissatisfied
Male,Loyal Customer,49,Personal Travel,Business,86.0,5,2,3,4,4,4,4,0.0,0.0,Neutral
Male,Disloyal Customer,21,Business Travel,Business,89.0,4,1,5,3,3,5,3,0.0,0.0,Satisfied
Female,Loyal Customer,39,Business Travel,Business,89.0,4,3,3,3,2,4,3,0.0,0.0,Dissatisfied
Male,Loyal Customer,54,Business Travel,Business,89.0,2,3,3,2,2,2,4,0.0,0.0,Dissatisfied
Female,Loyal Customer,60,Business Travel,Business,89.0,1,1,4,3,4,4,5,0.0,0.0,Satisfied
Male,Disloyal Customer,27,Business Travel,Business,89.0,2,2,3,4,4,4,4,0.0,0.0,Neutral
Female,Loyal Customer,54,Business Travel,Business,89.0,4,1,4,4,5,5,5,5.0,0.0,Satisfied
Male,Loyal Customer,49,Business Travel,Business,89.0,2,2,2,3,4,4,3,0.0,0.0,Satisfied
Male,Loyal Customer,30,Business Travel,Business,337.0,4,5,3,4,4,5,4,10.0,0.0,Satisfied
Male,Loyal Customer,55,Business Travel,Business,89.0,1,1,1,2,3,3,2,49.0,59.0,Satisfied
Female,Loyal Customer,27,Business Travel,Business,89.0,4,4,4,4,4,4,4,0.0,0.0,Satisfied
Male,Loyal Customer,35,Business Travel,Business,89.0,2,3,3,4,1,2,4,0.0,2.0,Dissatisfied
Male,Loyal Customer,56,Business Travel,Business,89.0,3,4,3,4,4,4,4,0.0,0.0,Neutral
Female,Disloyal Customer,37,Business Travel,Business,89.0,4,4,4,3,3,4,3,0.0,0.0,Dissatisfied
Female,Loyal Customer,42,Business Travel,Business,89.0,0,4,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,38,Business Travel,Business,89.0,5,5,3,3,5,4,3,0.0,0.0,Satisfied
Female,Loyal Customer,39,Business Travel,Business,89.0,1,1,1,4,4,4,4,0.0,0.0,Satisfied
Male,Loyal Customer,54,Business Travel,Business,89.0,4,3,4,1,5,4,3,76.0,70.0,Satisfied
Female,Loyal Customer,36,Business Travel,Business,89.0,3,3,3,1,5,3,3,0.0,0.0,Satisfied
Female,Loyal Customer,46,Business Travel,Business,89.0,0,5,1,5,1,1,4,0.0,0.0,Satisfied
Female,Loyal Customer,56,Business Travel,Business,89.0,1,1,1,4,4,4,4,0.0,0.0,Satisfied
Female,Loyal Customer,25,Business Travel,Business,89.0,4,5,5,1,1,4,1,0.0,0.0,Unknown
Female,Loyal Customer,38,Business Travel,Business,89.0,5,1,5,5,4,5,5,0.0,0.0,Satisfied
Male,Disloyal Customer,39,Business Travel,Business,89.0,5,1,3,4,4,4,4,0.0,0.0,Neutral
Female,Disloyal Customer,33,Business Travel,Business,89.0,1,1,1,2,2,5,2,0.0,0.0,Dissatisfied
Male,Loyal Customer,57,Business Travel,Business,89.0,2,2,2,2,5,4,4,5.0,4.0,Satisfied
Female,Loyal Customer,49,Business Travel,Business,89.0,0,4,1,5,5,5,5,0.0,0.0,Satisfied
Female,Loyal Customer,49,Business Travel,Business,89.0,2,3,4,2,3,2,2,37.0,30.0,Dissatisfied
Male,Loyal Customer,38,Business Travel,Business,89.0,5,5,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,57,Business Travel,Business,89.0,2,4,4,4,1,2,4,0.0,19.0,Dissatisfied
Male,Loyal Customer,36,Business Travel,Business,89.0,4,4,4,3,5,3,2,0.0,4.0,Satisfied
Male,Loyal Customer,15,Personal Travel,Business,89.0,3,5,3,4,4,5,4,0.0,0.0,Dissatisfied
Male,Loyal Customer,49,Business Travel,Business,89.0,5,5,5,3,5,5,5,0.0,0.0,Satisfied
Male,Loyal Customer,39,Business Travel,Business,89.0,2,2,3,4,4,4,4,0.0,0.0,Neutral
Male,Disloyal Customer,26,Business Travel,Business,89.0,4,3,4,4,4,3,4,29.0,25.0,Dissatisfied
Male,Loyal Customer,49,Business Travel,Business,89.0,0,4,1,3,3,3,5,21.0,15.0,Satisfied
Female,Disloyal Customer,47,Business Travel,Business,89.0,2,2,2,4,4,4,4,0.0,0.0,Dissatisfied
Male,Loyal Customer,57,Business Travel,Business,89.0,0,4,1,3,4,4,4,0.0,0.0,Satisfied
Male,Loyal Customer,42,Business Travel,Business,89.0,2,5,5,1,3,2,3,0.0,0.0,Dissatisfied
Male,Loyal Customer,36,Business Travel,Business,89.0,4,4,4,5,4,5,5,134.0,129.0,Satisfied
Male,Disloyal Customer,35,Business Travel,Business,89.0,3,3,3,3,3,4,3,0.0,0.0,Dissatisfied
Female,Disloyal Customer,39,Business Travel,Business,89.0,2,2,2,4,4,4,4,0.0,44.0,Satisfied
Male,Disloyal Customer,62,Business Travel,Business,89.0,3,3,3,4,4,3,4,13.0,9.0,Dissatisfied
Male,Loyal Customer,33,Business Travel,Business,89.0,2,3,3,2,2,4,2,0.0,0.0,Dissatisfied
Male,Loyal Customer,34,Business Travel,Business,89.0,5,5,3,4,4,4,4,0.0,0.0,Neutral
Female,Disloyal Customer,25,Business Travel,Business,89.0,1,3,1,2,2,4,2,0.0,0.0,Unknown
Male,Loyal Customer,50,Personal Travel,Business,89.0,4,4,1,2,4,4,3,23.0,14.0,Dissatisfied
Male,Loyal Customer,59,Business Travel,Business,89.0,2,3,3,4,4,2,4,0.0,0.0,Dissatisfied
Male,Disloyal Customer,55,Business Travel,Business,89.0,2,2,2,3,3,4,3,0.0,0.0,Satisfied
Female,Disloyal Customer,24,Business Travel,Business,89.0,3,3,3,5,5,5,5,0.0,45.0,Dissatisfied
Male,Disloyal Customer,39,Business Travel,Business,89.0,4,4,4,4,4,3,4,0.0,0.0,Dissatisfied
Female,Loyal Customer,50,Business Travel,Business,89.0,1,1,1,5,4,3,3,28.0,19.0,Satisfied
Female,Loyal Customer,52,Business Travel,Business,89.0,2,2,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,48,Business Travel,Business,89.0,4,4,4,4,4,4,5,19.0,16.0,Satisfied
Female,Disloyal Customer,27,Business Travel,Business,89.0,3,3,3,3,3,4,3,57.0,52.0,Dissatisfied
Male,Loyal Customer,38,Business Travel,Business,89.0,4,1,1,3,1,4,4,13.0,0.0,Dissatisfied
Female,Loyal Customer,49,Business Travel,Business,90.0,4,4,2,3,4,4,3,0.0,0.0,Satisfied
Female,Loyal Customer,69,Personal Travel,Business,90.0,3,3,3,3,3,3,2,0.0,25.0,Dissatisfied
Female,Loyal Customer,41,Business Travel,Business,90.0,4,1,4,5,3,5,5,64.0,210.0,Satisfied
Female,Loyal Customer,42,Business Travel,Business,90.0,3,2,2,5,4,3,4,0.0,0.0,Dissatisfied
Female,Disloyal Customer,47,Business Travel,Business,90.0,1,2,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,66,Personal Travel,Business,90.0,2,4,2,2,3,3,4,0.0,0.0,Dissatisfied
Female,Loyal Customer,46,Personal Travel,Business,90.0,2,5,2,5,5,5,4,0.0,25.0,Dissatisfied
Male,Loyal Customer,48,Business Travel,Business,90.0,3,3,3,3,5,4,5,0.0,4.0,Satisfied
Female,Loyal Customer,37,Personal Travel,Business,95.0,2,3,2,1,5,5,5,0.0,0.0,Dissatisfied
Male,Loyal Customer,51,Business Travel,Business,95.0,5,5,5,1,5,5,5,0.0,0.0,Satisfied
Female,Loyal Customer,17,Business Travel,Business,95.0,2,2,4,4,4,3,4,0.0,0.0,Satisfied
Male,Loyal Customer,46,Business Travel,Business,95.0,1,1,4,3,5,4,3,1.0,0.0,Satisfied
Male,Loyal Customer,54,Business Travel,Business,95.0,4,4,4,2,4,5,4,2.0,0.0,Satisfied
Male,Loyal Customer,30,Business Travel,Business,337.0,4,4,3,4,3,4,3,10.0,0.0,Satisfied
Male,Disloyal Customer,22,Business Travel,Business,95.0,5,1,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,50,Business Travel,Business,95.0,1,3,3,4,4,4,3,455.0,0.0,Dissatisfied
Female,Disloyal Customer,40,Business Travel,Business,95.0,5,5,5,2,2,2,2,3.0,16.0,Satisfied
Female,Disloyal Customer,36,Business Travel,Business,96.0,3,3,3,2,2,4,2,0.0,0.0,Dissatisfied
Female,Disloyal Customer,37,Business Travel,Business,96.0,4,4,4,4,4,4,4,123.0,124.0,Satisfied
Female,Loyal Customer,59,Business Travel,Business,96.0,3,3,3,3,4,4,4,0.0,0.0,Satisfied
Male,Loyal Customer,62,Business Travel,Business,96.0,2,2,2,3,5,4,2,0.0,0.0,Satisfied
Female,Disloyal Customer,25,Business Travel,Business,96.0,5,1,5,5,5,5,5,0.0,0.0,Unknown
Male,Disloyal Customer,38,Business Travel,Business,96.0,4,4,4,2,2,4,2,0.0,0.0,Satisfied
Female,Disloyal Customer,35,Business Travel,Business,96.0,3,3,3,2,2,4,2,0.0,15.0,Dissatisfied
Female,Disloyal Customer,37,Business Travel,Business,96.0,2,2,2,2,2,4,2,0.0,0.0,Dissatisfied
Male,Disloyal Customer,33,Business Travel,Business,96.0,3,3,3,4,4,4,4,0.0,0.0,Neutral
Female,Loyal Customer,50,Personal Travel,Business,96.0,4,4,1,3,3,3,4,0.0,3.0,Satisfied
Male,Loyal Customer,40,Business Travel,Business,98.0,1,1,1,5,5,4,5,0.0,0.0,Satisfied
Female,Loyal Customer,46,Business Travel,Business,100.0,3,3,3,3,4,5,5,0.0,0.0,Satisfied
Female,Loyal Customer,48,Business Travel,Business,100.0,5,5,5,4,4,4,5,0.0,0.0,Satisfied
Female,Disloyal Customer,36,Business Travel,Business,100.0,4,4,4,2,2,4,2,122.0,119.0,Dissatisfied
Male,Loyal Customer,38,Business Travel,Business,100.0,5,5,5,2,4,4,4,0.0,0.0,Satisfied
Male,Loyal Customer,51,Business Travel,Business,100.0,0,5,1,5,4,4,5,0.0,0.0,Satisfied
Male,Loyal Customer,57,Business Travel,Business,100.0,0,4,1,4,5,1,5,0.0,0.0,Satisfied
Male,Disloyal Customer,39,Business Travel,Business,101.0,2,1,1,2,2,3,2,0.0,0.0,Neutral
Male,Loyal Customer,43,Business Travel,Business,101.0,0,4,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,30,Business Travel,Business,337.0,0,5,3,4,4,4,4,0.0,0.0,Neutral
Female,Loyal Customer,51,Business Travel,Business,101.0,0,4,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,51,Business Travel,Business,101.0,0,3,1,5,3,3,5,0.0,5.0,Satisfied
Female,Loyal Customer,66,Business Travel,Business,101.0,2,3,3,4,4,4,4,0.0,0.0,Neutral
Female,Loyal Customer,43,Business Travel,Business,101.0,1,1,1,4,4,3,4,5.0,13.0,Satisfied
Male,Loyal Customer,35,Business Travel,Business,101.0,3,3,3,5,4,3,3,0.0,0.0,Satisfied
Male,Loyal Customer,42,Business Travel,Business,101.0,0,3,3,4,4,4,4,0.0,0.0,Neutral
Female,Loyal Customer,41,Business Travel,Business,101.0,2,2,2,4,5,4,5,0.0,0.0,Satisfied
Male,Loyal Customer,32,Business Travel,Business,101.0,3,2,3,4,4,3,4,0.0,1.0,Satisfied
Female,Loyal Customer,43,Business Travel,Business,101.0,3,3,3,5,4,4,5,0.0,0.0,Satisfied
Male,Loyal Customer,50,Business Travel,Business,101.0,1,4,1,1,4,5,4,4.0,16.0,Satisfied
Female,Disloyal Customer,45,Business Travel,Business,101.0,2,2,2,5,5,5,5,0.0,0.0,Dissatisfied
Male,Loyal Customer,48,Business Travel,Business,101.0,3,5,5,2,1,3,2,0.0,0.0,Dissatisfied
Male,Loyal Customer,37,Business Travel,Business,101.0,4,4,4,2,5,3,5,0.0,0.0,Satisfied
Female,Loyal Customer,65,Business Travel,Business,101.0,1,1,1,2,3,1,3,0.0,0.0,Dissatisfied
Female,Disloyal Customer,22,Business Travel,Business,101.0,3,2,3,5,5,1,5,0.0,0.0,Dissatisfied
Male,Loyal Customer,21,Personal Travel,Business,101.0,2,4,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,56,Personal Travel,Business,101.0,2,4,2,4,4,4,5,0.0,0.0,Dissatisfied
Male,Loyal Customer,47,Personal Travel,Business,101.0,3,3,3,4,4,4,4,0.0,0.0,Neutral
Female,Loyal Customer,40,Business Travel,Business,101.0,2,5,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,56,Personal Travel,Business,101.0,3,3,3,2,4,4,3,0.0,0.0,Dissatisfied
Female,Loyal Customer,49,Personal Travel,Business,101.0,4,5,4,5,3,3,4,0.0,0.0,Satisfied
Female,Loyal Customer,44,Business Travel,Business,101.0,4,4,4,5,5,5,3,0.0,0.0,Satisfied
Female,Loyal Customer,68,Business Travel,Business,101.0,2,2,2,2,4,5,4,0.0,3.0,Satisfied
Female,Loyal Customer,17,Business Travel,Business,101.0,2,5,5,2,2,4,2,0.0,0.0,Dissatisfied
Male,Loyal Customer,43,Business Travel,Business,101.0,4,4,4,3,4,4,5,0.0,0.0,Satisfied
Female,Disloyal Customer,26,Business Travel,Business,101.0,2,5,2,4,4,4,4,0.0,2.0,Dissatisfied
Female,Loyal Customer,38,Business Travel,Business,101.0,5,5,5,3,4,5,2,5.0,9.0,Satisfied
Female,Loyal Customer,70,Personal Travel,Business,101.0,5,5,1,1,2,2,4,0.0,0.0,Satisfied
Female,Loyal Customer,36,Business Travel,Business,101.0,5,5,5,5,4,4,3,0.0,0.0,Satisfied
Male,Loyal Customer,62,Business Travel,Business,101.0,1,1,1,4,4,3,2,0.0,0.0,Satisfied
Female,Loyal Customer,49,Business Travel,Business,101.0,1,4,4,3,2,1,3,11.0,14.0,Dissatisfied
Male,Loyal Customer,17,Personal Travel,Business,101.0,0,4,3,4,4,4,4,0.0,0.0,Neutral
Male,Loyal Customer,39,Business Travel,Business,101.0,2,2,5,5,5,3,4,0.0,0.0,Satisfied
Female,Disloyal Customer,27,Business Travel,Business,101.0,4,4,4,4,4,4,4,0.0,0.0,Satisfied
Male,Loyal Customer,58,Business Travel,Business,101.0,5,5,5,4,4,4,5,0.0,5.0,Satisfied
Female,Loyal Customer,45,Business Travel,Business,101.0,3,3,3,5,5,5,4,0.0,0.0,Satisfied
Female,Loyal Customer,34,Business Travel,Business,101.0,3,4,4,4,3,3,4,35.0,42.0,Dissatisfied
Male,Loyal Customer,38,Business Travel,Business,101.0,5,5,5,4,5,4,2,0.0,0.0,Satisfied
Female,Loyal Customer,11,Personal Travel,Business,101.0,1,5,1,2,2,4,2,0.0,0.0,Dissatisfied
Male,Loyal Customer,34,Business Travel,Business,101.0,0,5,3,4,4,4,4,0.0,0.0,Neutral
Male,Disloyal Customer,57,Business Travel,Business,101.0,2,2,2,3,3,5,3,13.0,21.0,Dissatisfied
Male,Loyal Customer,46,Business Travel,Business,101.0,0,4,1,3,3,3,5,0.0,0.0,Satisfied
